lead_id,first_name,last_name,email,phone,company,job_title,industry,lead_source,created_date,country,employee_count
1,Lindsey,Cole,elizabethhenry@chavez.net,+1-142-736-6724x02341,Robinson-Perry,Analyst,Retail,Email Campaign,15/10/2025,United States,100
2,Alexander,Daniels,kimberlycortez@gmail.com,-1011,"Hanson, Sandoval and Woods",Director,Manufacturing,Website,10/03/2025,Philippines,10
3,Michele,Reyes,sgregory@smith.biz,(834)627-6870,"Smith, Cruz and Davis",Coordinator,Healthcare,Email Campaign,19/05/2025,Singapore,25
4,Ryan,Davis,georgelopez@gmail.com,0229825582,Morris and Sons,Manager,Technology,Facebook Ads,17/05/2025,United States,25
5,Shelby,White,erica82@hotmail.com,200.727.0629x719,Mitchell-Woods,Specialist,Manufacturing,Referral,11/02/2025,Australia,25
6,Curtis,Morgan,rwatson@hotmail.com,(054)427-1722x209,Sheppard-Gregory,Engineer,Education,Website,05/02/2024,Singapore,50
7,Valerie,Carroll,jonesdennis@gmail.com,+1-171-463-3310x881,Adams-White,Director,Finance,Referral,12/03/2025,United States,25
8,Misty,Owens,rodriguezsierra@yahoo.com,,Wilson Inc,Analyst,Retail,Referral,04/07/2025,United Kingdom,500
9,Spencer,King,rhonda93@gmail.com,1687116735,"Benjamin, Brown and Daugherty",Manager,Education,Referral,23/02/2025,United States,500
10,Tina,Bates,davidrobertsonyahoo.com,+1-461-952-0724x4660,"Powell, Anderson and Sosa",Coordinator,Healthcare,Event,24/06/2025,Singapore,10
11,Andrea,Lee,kpeterson@rodriguez-williams.com,+1-773-820-9355x5996,Matthews-Cox,Specialist,Finance,Facebook Ads,07/02/2024,Australia,25
12,Stacy,Vaughn,rgomez@gmail.com,(914)291-3459x73438,"Combs, Ramirez and Thornton",Director,Education,Google Ads,13/03/2025,Philippines,
13,Carrie,Lee,anna81@hotmail.com,(580)699-8069x836,Wilson-Ryan,Engineer,Retail,Google Ads,13/12/2025,Australia,250
14,Guy,Martin,julie00@smith-wallace.com,(893)989-8561x693,Davila-Reese,Manager,Technology,Referral,06/01/2026,Singapore,500
15,Melissa,Moore,davidbarnes@nelson-flores.info,543.619.0682x72891,Saunders Ltd,Engineer,Retail,Website,05/01/2025,United Kingdom,100
16,Steven,Martin,monicarichardwashington.com,521-734-6586,Tran Ltd,Analyst,Technology,Referral,01/12/2024,United States,25
17,Greg,Mcclain,cvalenzuela@gmail.com,,"Powell, Gregory and Willis",Specialist,Education,Facebook Ads,14/02/2025,United States,
18,Katherine,Cox,courtney79@woods-george.com,001-772-834-1669x6368,Willis-Lopez,Manager,Technology,Website,03/07/2025,Singapore,50
19,Stephen,Lee,welchleslie@yahoo.com,+1-277-043-3639x39548,"Martin, Gonzalez and Adkins",Coordinator,Retail,Email Campaign,04/03/2025,Philippines,100
20,Ashley,Frost,johnmarquez@gmail.com,663.481.5649,"Schwartz, Rodriguez and Haynes",Director,Finance,Website,14/01/2025,Australia,250
21,Beverly,Rhodes,david90@hotmail.com,-6350,Ryan Group,Engineer,Technology,Event,12/03/2024,Australia,10
22,Cassandra,Gillespie,robert67@wright.biz,001-490-101-5399x610,"Atkinson, Ferguson and Walker",Specialist,Manufacturing,Email Campaign,15/11/2025,Singapore,25
23,Jason,Jones,dakotacooley@gmail.com,+1-045-234-9364x48805,Cole Inc,Engineer,Retail,Facebook Ads,26/11/2024,Philippines,50
24,Ann,Munoz,alvarezandrew@brown.com,(432)629-2047x3226,Cole PLC,Manager,Retail,Facebook Ads,29/09/2024,Philippines,100
25,Jessica,Thomas,ashleyjohnson@yahoo.com,+1-777-217-9306x361,"Hunt, Davis and Adkins",Director,Finance,Google Ads,10/06/2025,Australia,1000
26,Laurie,Garrett,angela48@bailey.com,+1-424-779-9753x1785,Keller-Perkins,Director,Healthcare,Website,17/05/2025,United Kingdom,250
27,Tony,Chavez,guzmanmichele@hotmail.com,001-356-728-5099,Mendoza-Simmons,Engineer,Education,Google Ads,18/01/2025,Singapore,250
28,Jose,Webb,moranmonica@yahoo.com,(224)615-3582,Stone-Griffin,Analyst,Retail,Event,01/01/2025,Philippines,25
29,Heather,Herman,pyoung@yahoo.com,(804)810-8568,Simmons-Brown,Analyst,Education,Referral,07/09/2025,United States,250
30,Susan,Thomas,markcantrell@sanders.com,(384)725-6975,Fox-Young,Coordinator,Manufacturing,Google Ads,08/05/2025,Australia,10
31,Alexandria,Rodriguez,millermark@gibson.com,106-721-9523,"Mccullough, Love and Washington",Director,Technology,Email Campaign,08/05/2025,Singapore,
32,Janet,Evans,warddarryl@yahoo.com,561-975-9813x1143,"Clark, Hardin and Johnson",Coordinator,Healthcare,Email Campaign,27/02/2025,Philippines,1000
33,Samantha,Patton,mooneygeorge@daniels.com,,Schultz-Burke,Director,Healthcare,Event,16/09/2024,Philippines,50
